sentiment,source,length
positive,IMDB Review,76
positive,IMDB Review,103
positive,IMDB Review,183
positive,IMDB Review,175
positive,IMDB Review,253
negative,IMDB Review,385
positive,IMDB Review,138
negative,IMDB Review,261
negative,IMDB Review,305
negative,IMDB Review,626
positive,IMDB Review,153
positive,IMDB Review,228
negative,IMDB Review,133
positive,IMDB Review,130
negative,IMDB Review,300
positive,IMDB Review,133
positive,IMDB Review,134
negative,IMDB Review,85
negative,IMDB Review,161
positive,IMDB Review,189
positive,IMDB Review,194
negative,IMDB Review,697
positive,IMDB Review,271
negative,IMDB Review,260
positive,IMDB Review,370
negative,IMDB Review,119
negative,IMDB Review,126
negative,IMDB Review,330
negative,IMDB Review,195
negative,IMDB Review,228
positive,IMDB Review,216
negative,IMDB Review,649
positive,IMDB Review,327
negative,IMDB Review,325
negative,IMDB Review,459
negative,IMDB Review,173
negative,IMDB Review,176
negative,IMDB Review,185
positive,IMDB Review,139
negative,IMDB Review,175
positive,IMDB Review,128
negative,IMDB Review,170
positive,IMDB Review,147
negative,IMDB Review,65
positive,IMDB Review,140
negative,IMDB Review,525
negative,IMDB Review,144
negative,IMDB Review,141
positive,IMDB Review,106
negative,IMDB Review,132
negative,IMDB Review,136
negative,IMDB Review,114
positive,IMDB Review,166
negative,IMDB Review,255
positive,IMDB Review,85
negative,IMDB Review,198
positive,IMDB Review,84
positive,IMDB Review,155
negative,IMDB Review,323
negative,IMDB Review,692
positive,IMDB Review,435
negative,IMDB Review,92
negative,IMDB Review,139
positive,IMDB Review,128
negative,IMDB Review,359
positive,IMDB Review,50
negative,IMDB Review,71
negative,IMDB Review,309
positive,IMDB Review,97
negative,IMDB Review,131
negative,IMDB Review,181
positive,IMDB Review,108
positive,IMDB Review,109
negative,IMDB Review,203
positive,IMDB Review,417
positive,IMDB Review,222
positive,IMDB Review,104
negative,IMDB Review,393
negative,IMDB Review,295
positive,IMDB Review,119
negative,IMDB Review,152
negative,IMDB Review,159
negative,IMDB Review,116
negative,IMDB Review,184
positive,IMDB Review,237
negative,IMDB Review,213
positive,IMDB Review,109
positive,IMDB Review,116
positive,IMDB Review,70
negative,IMDB Review,138
negative,IMDB Review,93
negative,IMDB Review,65
negative,IMDB Review,119
positive,IMDB Review,263
positive,IMDB Review,107
positive,IMDB Review,277
negative,IMDB Review,498
negative,IMDB Review,132
negative,IMDB Review,161
negative,IMDB Review,190
negative,IMDB Review,130
positive,IMDB Review,135
negative,IMDB Review,54
positive,IMDB Review,251
negative,IMDB Review,99
positive,IMDB Review,930
negative,IMDB Review,409
negative,IMDB Review,152
negative,IMDB Review,741
negative,IMDB Review,144
negative,IMDB Review,375
positive,IMDB Review,218
negative,IMDB Review,498
negative,IMDB Review,98
negative,IMDB Review,50
positive,IMDB Review,75
positive,IMDB Review,394
positive,IMDB Review,438
negative,IMDB Review,94
positive,IMDB Review,239
positive,IMDB Review,338
negative,IMDB Review,293
positive,IMDB Review,191
positive,IMDB Review,104
negative,IMDB Review,182
negative,IMDB Review,535
negative,IMDB Review,185
negative,IMDB Review,119
negative,IMDB Review,72
negative,IMDB Review,126
positive,IMDB Review,168
positive,IMDB Review,190
negative,IMDB Review,270
positive,IMDB Review,190
negative,IMDB Review,183
negative,IMDB Review,112
negative,IMDB Review,217
negative,IMDB Review,106
negative,IMDB Review,155
negative,IMDB Review,124
positive,IMDB Review,209
positive,IMDB Review,319
positive,IMDB Review,112
positive,IMDB Review,136
negative,IMDB Review,126
positive,IMDB Review,142
negative,IMDB Review,72
negative,IMDB Review,209
positive,IMDB Review,185
positive,IMDB Review,234
positive,IMDB Review,333
positive,IMDB Review,124
negative,IMDB Review,281
negative,IMDB Review,106
positive,IMDB Review,526
negative,IMDB Review,140
positive,IMDB Review,463
positive,IMDB Review,165
negative,IMDB Review,139
negative,IMDB Review,148
negative,IMDB Review,239
negative,IMDB Review,194
positive,IMDB Review,71
negative,IMDB Review,532
positive,IMDB Review,224
negative,IMDB Review,70
positive,IMDB Review,295
positive,IMDB Review,84
positive,IMDB Review,604
negative,IMDB Review,317
negative,IMDB Review,225
negative,IMDB Review,181
positive,IMDB Review,464
negative,IMDB Review,263
positive,IMDB Review,119
negative,IMDB Review,179
negative,IMDB Review,292
positive,IMDB Review,132
positive,IMDB Review,122
negative,IMDB Review,150
negative,IMDB Review,143
positive,IMDB Review,140
negative,IMDB Review,184
negative,IMDB Review,123
negative,IMDB Review,100
positive,IMDB Review,65
negative,IMDB Review,232
negative,IMDB Review,792
positive,IMDB Review,205
positive,IMDB Review,374
positive,IMDB Review,108
negative,IMDB Review,155
positive,IMDB Review,169
negative,IMDB Review,101
positive,IMDB Review,448
positive,IMDB Review,196
positive,IMDB Review,79
negative,IMDB Review,160
positive,IMDB Review,449
negative,IMDB Review,132
negative,IMDB Review,208
positive,IMDB Review,44
positive,IMDB Review,109
negative,IMDB Review,139
positive,IMDB Review,306
positive,IMDB Review,108
negative,IMDB Review,575
negative,IMDB Review,165
positive,IMDB Review,149
negative,IMDB Review,166
negative,IMDB Review,451
negative,IMDB Review,140
negative,IMDB Review,77
positive,IMDB Review,195
positive,IMDB Review,560
positive,IMDB Review,129
negative,IMDB Review,151
negative,IMDB Review,129
negative,IMDB Review,129
positive,IMDB Review,497
negative,IMDB Review,254
negative,IMDB Review,121
negative,IMDB Review,155
negative,IMDB Review,263
negative,IMDB Review,56
positive,IMDB Review,129
positive,IMDB Review,72
positive,IMDB Review,269
positive,IMDB Review,206
positive,IMDB Review,132
positive,IMDB Review,111
positive,IMDB Review,186
positive,IMDB Review,362
positive,IMDB Review,148
negative,IMDB Review,43
positive,IMDB Review,389
positive,IMDB Review,84
negative,IMDB Review,219
negative,IMDB Review,250
positive,IMDB Review,328
positive,IMDB Review,196
positive,IMDB Review,430
negative,IMDB Review,37
positive,IMDB Review,248
negative,IMDB Review,120
positive,IMDB Review,64
negative,IMDB Review,802
positive,IMDB Review,116
negative,IMDB Review,178
positive,IMDB Review,141
positive,IMDB Review,128
positive,IMDB Review,147
negative,IMDB Review,129
positive,IMDB Review,430
positive,IMDB Review,50
positive,IMDB Review,73
positive,IMDB Review,286
positive,IMDB Review,46
positive,IMDB Review,360
positive,IMDB Review,56
negative,IMDB Review,251
negative,IMDB Review,47
positive,IMDB Review,392
positive,IMDB Review,810
negative,IMDB Review,371
positive,IMDB Review,120
negative,IMDB Review,393
negative,IMDB Review,122
positive,IMDB Review,126
negative,IMDB Review,253
negative,IMDB Review,287
negative,IMDB Review,622
negative,IMDB Review,239
positive,IMDB Review,346
positive,IMDB Review,306
positive,IMDB Review,480
negative,IMDB Review,588
negative,IMDB Review,176
positive,IMDB Review,575
negative,IMDB Review,110
positive,IMDB Review,596
positive,IMDB Review,182
positive,IMDB Review,226
positive,IMDB Review,89
negative,IMDB Review,97
negative,IMDB Review,135
positive,IMDB Review,61
negative,IMDB Review,52
positive,IMDB Review,108
positive,IMDB Review,168
positive,IMDB Review,252
positive,IMDB Review,136
positive,IMDB Review,54
positive,IMDB Review,327
positive,IMDB Review,116
positive,IMDB Review,67
negative,IMDB Review,231
positive,IMDB Review,986
negative,IMDB Review,210
positive,IMDB Review,139
negative,IMDB Review,47
negative,IMDB Review,198
negative,IMDB Review,120
negative,IMDB Review,788
negative,IMDB Review,516
positive,IMDB Review,201
negative,IMDB Review,157
negative,IMDB Review,290
positive,IMDB Review,151
positive,IMDB Review,319
negative,IMDB Review,118
negative,IMDB Review,382
positive,IMDB Review,80
negative,IMDB Review,186
negative,IMDB Review,192
negative,IMDB Review,112
negative,IMDB Review,133
negative,IMDB Review,186
negative,IMDB Review,427
negative,IMDB Review,272
positive,IMDB Review,250
negative,IMDB Review,606
negative,IMDB Review,412
negative,IMDB Review,480
positive,IMDB Review,206
negative,IMDB Review,150
negative,IMDB Review,146
negative,IMDB Review,76
negative,IMDB Review,302
positive,IMDB Review,149
positive,IMDB Review,486
positive,IMDB Review,49
negative,IMDB Review,154
positive,IMDB Review,178
positive,IMDB Review,67
negative,IMDB Review,151
negative,IMDB Review,127
negative,IMDB Review,199
positive,IMDB Review,316
negative,IMDB Review,404
negative,IMDB Review,632
negative,IMDB Review,118
positive,IMDB Review,661
positive,IMDB Review,284
positive,IMDB Review,181
positive,IMDB Review,29
positive,IMDB Review,183
negative,IMDB Review,124
negative,IMDB Review,154
positive,IMDB Review,425
negative,IMDB Review,170
negative,IMDB Review,403
positive,IMDB Review,838
negative,IMDB Review,336
negative,IMDB Review,128
positive,IMDB Review,128
negative,IMDB Review,217
positive,IMDB Review,194
positive,IMDB Review,158
negative,IMDB Review,306
positive,IMDB Review,179
negative,IMDB Review,183
negative,IMDB Review,486
positive,IMDB Review,227
negative,IMDB Review,238
positive,IMDB Review,218
positive,IMDB Review,52
positive,IMDB Review,73
positive,IMDB Review,59
positive,IMDB Review,71
positive,IMDB Review,123
negative,IMDB Review,319
negative,IMDB Review,221
positive,IMDB Review,137
positive,IMDB Review,211
negative,IMDB Review,123
negative,IMDB Review,158
negative,IMDB Review,222
negative,IMDB Review,427
positive,IMDB Review,86
negative,IMDB Review,402
positive,IMDB Review,119
positive,IMDB Review,351
negative,IMDB Review,156
positive,IMDB Review,217
positive,IMDB Review,61
positive,IMDB Review,369
negative,IMDB Review,919
positive,IMDB Review,141
negative,IMDB Review,56
negative,IMDB Review,129
negative,IMDB Review,175
positive,IMDB Review,289
negative,IMDB Review,77
negative,IMDB Review,122
positive,IMDB Review,137
negative,IMDB Review,134
positive,IMDB Review,274
positive,IMDB Review,110
negative,IMDB Review,313
positive,IMDB Review,42
negative,IMDB Review,174
positive,IMDB Review,183
positive,IMDB Review,884
positive,IMDB Review,222
positive,IMDB Review,162
positive,IMDB Review,176
negative,IMDB Review,309
positive,IMDB Review,413
negative,IMDB Review,243
positive,IMDB Review,76
negative,IMDB Review,372
negative,IMDB Review,137
negative,IMDB Review,115
positive,IMDB Review,283
positive,IMDB Review,344
negative,IMDB Review,90
positive,IMDB Review,172
positive,IMDB Review,57
negative,IMDB Review,117
positive,IMDB Review,110
positive,IMDB Review,327
positive,IMDB Review,191
positive,IMDB Review,168
negative,IMDB Review,63
positive,IMDB Review,185
positive,IMDB Review,331
negative,IMDB Review,209
positive,IMDB Review,146
positive,IMDB Review,205
positive,IMDB Review,62
negative,IMDB Review,53
negative,IMDB Review,223
positive,IMDB Review,131
negative,IMDB Review,557
negative,IMDB Review,158
negative,IMDB Review,154
negative,IMDB Review,142
negative,IMDB Review,91
positive,IMDB Review,144
positive,IMDB Review,190
positive,IMDB Review,241
positive,IMDB Review,155
negative,IMDB Review,324
positive,IMDB Review,119
negative,IMDB Review,171
negative,IMDB Review,144
negative,IMDB Review,148
negative,IMDB Review,69
negative,IMDB Review,164
positive,IMDB Review,146
negative,IMDB Review,114
positive,IMDB Review,360
positive,IMDB Review,85
negative,IMDB Review,404
negative,IMDB Review,220
negative,IMDB Review,179
negative,IMDB Review,122
negative,IMDB Review,183
positive,IMDB Review,137
negative,IMDB Review,117
negative,IMDB Review,179
negative,IMDB Review,494
positive,IMDB Review,246
negative,IMDB Review,480
positive,IMDB Review,112
positive,IMDB Review,558
positive,IMDB Review,54
negative,IMDB Review,79
positive,IMDB Review,116
negative,IMDB Review,592
positive,IMDB Review,116
positive,IMDB Review,114
positive,IMDB Review,139
positive,IMDB Review,182
positive,IMDB Review,460
positive,IMDB Review,363
negative,IMDB Review,610
negative,IMDB Review,65
negative,IMDB Review,356
negative,IMDB Review,278
negative,IMDB Review,150
negative,IMDB Review,245
negative,IMDB Review,150
negative,IMDB Review,125
negative,IMDB Review,59
positive,IMDB Review,600
positive,IMDB Review,183
negative,IMDB Review,283
positive,IMDB Review,213
negative,IMDB Review,112
positive,IMDB Review,150
negative,IMDB Review,494
positive,IMDB Review,141
negative,IMDB Review,111
negative,IMDB Review,150
positive,IMDB Review,146
negative,IMDB Review,228
positive,IMDB Review,153
negative,IMDB Review,301
negative,IMDB Review,423
positive,IMDB Review,118
positive,IMDB Review,248
positive,IMDB Review,136
negative,IMDB Review,866
positive,IMDB Review,74
positive,IMDB Review,607
positive,IMDB Review,114
positive,IMDB Review,222
positive,IMDB Review,959
negative,IMDB Review,204
positive,IMDB Review,246
negative,IMDB Review,132
negative,IMDB Review,146
negative,IMDB Review,253
negative,IMDB Review,342
negative,IMDB Review,125
positive,IMDB Review,169
positive,IMDB Review,563
negative,IMDB Review,127
positive,IMDB Review,214
positive,IMDB Review,244
negative,IMDB Review,358
negative,IMDB Review,99
negative,IMDB Review,121
positive,IMDB Review,190
negative,IMDB Review,307
negative,IMDB Review,151
negative,IMDB Review,204
negative,IMDB Review,140
negative,IMDB Review,233
positive,IMDB Review,109
negative,IMDB Review,129
negative,IMDB Review,148
positive,IMDB Review,274
positive,IMDB Review,261
negative,IMDB Review,137
negative,IMDB Review,476
positive,IMDB Review,130
positive,IMDB Review,62
negative,IMDB Review,311
negative,IMDB Review,507
positive,IMDB Review,283
negative,IMDB Review,351
negative,IMDB Review,122
negative,IMDB Review,121
negative,IMDB Review,116
positive,IMDB Review,463
positive,IMDB Review,125
negative,IMDB Review,121
positive,IMDB Review,676
positive,IMDB Review,640
positive,IMDB Review,203
negative,IMDB Review,152
negative,IMDB Review,207
negative,IMDB Review,47
positive,IMDB Review,148
negative,IMDB Review,179
positive,IMDB Review,333
negative,IMDB Review,69
positive,IMDB Review,210
positive,IMDB Review,735
negative,IMDB Review,308
positive,IMDB Review,101
positive,IMDB Review,182
negative,IMDB Review,397
negative,IMDB Review,989
positive,IMDB Review,146
negative,IMDB Review,137
positive,IMDB Review,184
negative,IMDB Review,200
positive,IMDB Review,371
positive,IMDB Review,178
negative,IMDB Review,420
negative,IMDB Review,169
negative,IMDB Review,202
positive,IMDB Review,542
positive,IMDB Review,153
negative,IMDB Review,94
negative,IMDB Review,334
negative,IMDB Review,239
negative,IMDB Review,10
negative,IMDB Review,534
negative,IMDB Review,456
positive,IMDB Review,111
negative,IMDB Review,295
negative,IMDB Review,466
positive,IMDB Review,549
negative,IMDB Review,696
negative,IMDB Review,270
negative,IMDB Review,143
positive,IMDB Review,82
negative,IMDB Review,30
negative,IMDB Review,144
negative,IMDB Review,200
positive,IMDB Review,234
positive,IMDB Review,157
negative,IMDB Review,429
positive,IMDB Review,63
negative,IMDB Review,71
negative,IMDB Review,78
positive,IMDB Review,234
negative,IMDB Review,171
positive,IMDB Review,133
negative,IMDB Review,297
negative,IMDB Review,189
negative,IMDB Review,117
negative,IMDB Review,262
positive,IMDB Review,278
positive,IMDB Review,56
positive,IMDB Review,644
positive,IMDB Review,471
negative,IMDB Review,159
positive,IMDB Review,185
negative,IMDB Review,295
negative,IMDB Review,258
negative,IMDB Review,245
negative,IMDB Review,507
positive,IMDB Review,127
negative,IMDB Review,203
negative,IMDB Review,349
positive,IMDB Review,65
negative,IMDB Review,199
negative,IMDB Review,186
negative,IMDB Review,57
positive,IMDB Review,220
negative,IMDB Review,118
negative,IMDB Review,141
positive,IMDB Review,41
negative,IMDB Review,28
positive,IMDB Review,76
negative,IMDB Review,185
positive,IMDB Review,109
positive,IMDB Review,611
negative,IMDB Review,109
positive,IMDB Review,146
positive,IMDB Review,272
positive,IMDB Review,111
positive,IMDB Review,139
negative,IMDB Review,192
positive,IMDB Review,215
positive,IMDB Review,307
negative,IMDB Review,136
negative,IMDB Review,52
negative,IMDB Review,338
positive,IMDB Review,69
positive,IMDB Review,383
negative,IMDB Review,348
negative,IMDB Review,130
positive,IMDB Review,248
positive,IMDB Review,380
positive,IMDB Review,44
negative,IMDB Review,330
positive,IMDB Review,64
negative,IMDB Review,169
positive,IMDB Review,132
negative,IMDB Review,209
positive,IMDB Review,314
negative,IMDB Review,87
positive,IMDB Review,200
positive,IMDB Review,291
negative,IMDB Review,498
positive,IMDB Review,201
positive,IMDB Review,123
positive,IMDB Review,231
positive,IMDB Review,701
positive,IMDB Review,211
negative,IMDB Review,158
positive,IMDB Review,126
negative,IMDB Review,146
negative,IMDB Review,135
negative,IMDB Review,163
negative,IMDB Review,277
negative,IMDB Review,463
negative,IMDB Review,49
positive,IMDB Review,111
positive,IMDB Review,262
negative,IMDB Review,215
negative,IMDB Review,378
negative,IMDB Review,87
negative,IMDB Review,223
negative,IMDB Review,112
positive,IMDB Review,276
negative,IMDB Review,169
positive,IMDB Review,375
negative,IMDB Review,156
positive,IMDB Review,152
negative,IMDB Review,90
negative,IMDB Review,242
negative,IMDB Review,147
positive,IMDB Review,158
negative,IMDB Review,172
negative,IMDB Review,123
negative,IMDB Review,210
positive,IMDB Review,401
negative,IMDB Review,248
positive,IMDB Review,63
negative,IMDB Review,397
negative,IMDB Review,419
negative,IMDB Review,181
negative,IMDB Review,121
positive,IMDB Review,150
positive,IMDB Review,82
negative,IMDB Review,156
negative,IMDB Review,163
negative,IMDB Review,137
positive,IMDB Review,114
negative,IMDB Review,111
positive,IMDB Review,151
negative,IMDB Review,202
negative,IMDB Review,140
positive,IMDB Review,283
positive,IMDB Review,131
positive,IMDB Review,253
positive,IMDB Review,303
positive,IMDB Review,52
negative,IMDB Review,167
positive,IMDB Review,216
negative,IMDB Review,52
negative,IMDB Review,61
positive,IMDB Review,66
positive,IMDB Review,221
positive,IMDB Review,129
positive,IMDB Review,47
negative,IMDB Review,146
negative,IMDB Review,244
positive,IMDB Review,233
positive,IMDB Review,113
negative,IMDB Review,264
positive,IMDB Review,81
negative,IMDB Review,116
positive,IMDB Review,155
negative,IMDB Review,284
positive,IMDB Review,40
positive,IMDB Review,119
positive,IMDB Review,269
positive,IMDB Review,101
positive,IMDB Review,109
positive,IMDB Review,132
positive,IMDB Review,158
positive,IMDB Review,695
positive,IMDB Review,134
positive,IMDB Review,124
negative,IMDB Review,132
positive,IMDB Review,158
positive,IMDB Review,190
negative,IMDB Review,120
negative,IMDB Review,157
negative,IMDB Review,187
negative,IMDB Review,65
negative,IMDB Review,150
negative,IMDB Review,155
negative,IMDB Review,47
negative,IMDB Review,183
negative,IMDB Review,637
negative,IMDB Review,134
negative,IMDB Review,322
positive,IMDB Review,152
negative,IMDB Review,370
negative,IMDB Review,422
negative,IMDB Review,156
negative,IMDB Review,471
positive,IMDB Review,180
positive,IMDB Review,167
negative,IMDB Review,172
negative,IMDB Review,284
negative,IMDB Review,180
positive,IMDB Review,293
negative,IMDB Review,67
positive,IMDB Review,213
negative,IMDB Review,149
negative,IMDB Review,253
negative,IMDB Review,411
positive,IMDB Review,132
negative,IMDB Review,170
positive,IMDB Review,121
positive,IMDB Review,210
negative,IMDB Review,66
negative,IMDB Review,263
positive,IMDB Review,125
positive,IMDB Review,151
positive,IMDB Review,189
positive,IMDB Review,264
positive,IMDB Review,165
positive,IMDB Review,132
negative,IMDB Review,124
positive,IMDB Review,204
positive,IMDB Review,495
negative,IMDB Review,196
positive,IMDB Review,96
negative,IMDB Review,77
positive,IMDB Review,443
positive,IMDB Review,308
negative,IMDB Review,122
positive,IMDB Review,287
negative,IMDB Review,267
negative,IMDB Review,105
negative,IMDB Review,133
positive,IMDB Review,136
positive,IMDB Review,106
negative,IMDB Review,124
positive,IMDB Review,135
negative,IMDB Review,127
positive,IMDB Review,121
positive,IMDB Review,57
negative,IMDB Review,373
negative,IMDB Review,140
positive,IMDB Review,715
negative,IMDB Review,127
positive,IMDB Review,62
positive,IMDB Review,170
positive,IMDB Review,220
positive,IMDB Review,319
positive,IMDB Review,68
negative,IMDB Review,114
positive,IMDB Review,331
negative,IMDB Review,192
negative,IMDB Review,182
negative,IMDB Review,696
positive,IMDB Review,107
positive,IMDB Review,235
positive,IMDB Review,107
negative,IMDB Review,474
negative,IMDB Review,331
negative,IMDB Review,151
positive,IMDB Review,125
positive,IMDB Review,363
negative,IMDB Review,319
negative,IMDB Review,53
negative,IMDB Review,50
negative,IMDB Review,327
negative,IMDB Review,90
negative,IMDB Review,977
positive,IMDB Review,293
negative,IMDB Review,518
negative,IMDB Review,526
negative,IMDB Review,155
positive,IMDB Review,158
positive,IMDB Review,137
negative,IMDB Review,277
negative,IMDB Review,122
negative,IMDB Review,123
negative,IMDB Review,123
negative,IMDB Review,118
negative,IMDB Review,256
positive,IMDB Review,180
positive,IMDB Review,723
negative,IMDB Review,107
positive,IMDB Review,248
negative,IMDB Review,238
negative,IMDB Review,268
positive,IMDB Review,91
negative,IMDB Review,50
negative,IMDB Review,262
negative,IMDB Review,126
positive,IMDB Review,183
positive,IMDB Review,258
positive,IMDB Review,156
positive,IMDB Review,167
negative,IMDB Review,205
negative,IMDB Review,284
positive,IMDB Review,126
negative,IMDB Review,161
positive,IMDB Review,155
positive,IMDB Review,256
positive,IMDB Review,29
negative,IMDB Review,756
positive,IMDB Review,123
negative,IMDB Review,693
positive,IMDB Review,179
positive,IMDB Review,89
negative,IMDB Review,416
positive,IMDB Review,130
negative,IMDB Review,122
negative,IMDB Review,113
positive,IMDB Review,298
negative,IMDB Review,146
negative,IMDB Review,254
positive,IMDB Review,122
negative,IMDB Review,152
positive,IMDB Review,122
negative,IMDB Review,82
negative,IMDB Review,123
positive,IMDB Review,134
negative,IMDB Review,289
negative,IMDB Review,134
negative,IMDB Review,192
positive,IMDB Review,104
negative,IMDB Review,157
positive,IMDB Review,175
positive,IMDB Review,312
negative,IMDB Review,147
positive,IMDB Review,248
negative,IMDB Review,333
negative,IMDB Review,51
negative,IMDB Review,258
positive,IMDB Review,123
negative,IMDB Review,147
positive,IMDB Review,56
positive,IMDB Review,219
negative,IMDB Review,264
positive,IMDB Review,104
positive,IMDB Review,124
negative,IMDB Review,316
negative,IMDB Review,294
positive,IMDB Review,325
negative,IMDB Review,283
positive,IMDB Review,52
positive,IMDB Review,189
negative,IMDB Review,276
negative,IMDB Review,79
positive,IMDB Review,131
negative,IMDB Review,112
negative,IMDB Review,110
negative,IMDB Review,171
negative,IMDB Review,125
negative,IMDB Review,71
positive,IMDB Review,435
positive,IMDB Review,79
positive,IMDB Review,264
positive,IMDB Review,525
positive,IMDB Review,127
negative,IMDB Review,457
positive,IMDB Review,52
positive,IMDB Review,106
positive,IMDB Review,57
negative,IMDB Review,422
positive,IMDB Review,833
positive,IMDB Review,114
negative,IMDB Review,110
positive,IMDB Review,142
positive,IMDB Review,131
positive,IMDB Review,124
negative,IMDB Review,181
positive,IMDB Review,213
negative,IMDB Review,173
negative,IMDB Review,475
positive,IMDB Review,207
negative,IMDB Review,259
negative,IMDB Review,364
negative,IMDB Review,135
positive,IMDB Review,162
positive,IMDB Review,138
positive,IMDB Review,164
positive,IMDB Review,76
positive,IMDB Review,376
negative,IMDB Review,213
positive,IMDB Review,616
positive,IMDB Review,269
positive,IMDB Review,117
negative,IMDB Review,334
negative,IMDB Review,167
negative,IMDB Review,158
positive,IMDB Review,199
positive,IMDB Review,80
positive,IMDB Review,170
negative,IMDB Review,161
positive,IMDB Review,202
positive,IMDB Review,258
positive,IMDB Review,530
negative,IMDB Review,147
negative,IMDB Review,143
negative,IMDB Review,195
negative,IMDB Review,176
positive,IMDB Review,138
positive,IMDB Review,553
negative,IMDB Review,121
positive,IMDB Review,381
positive,IMDB Review,546
negative,IMDB Review,126
positive,IMDB Review,161
positive,IMDB Review,254
negative,IMDB Review,143
positive,IMDB Review,150
negative,IMDB Review,155
positive,IMDB Review,168
negative,IMDB Review,127
negative,IMDB Review,44
negative,IMDB Review,342
negative,IMDB Review,349
negative,IMDB Review,78
negative,IMDB Review,281
negative,IMDB Review,107
negative,IMDB Review,157
negative,IMDB Review,194
negative,IMDB Review,107
positive,IMDB Review,340
positive,IMDB Review,370
positive,IMDB Review,263
positive,IMDB Review,195
positive,IMDB Review,139
negative,IMDB Review,220
negative,IMDB Review,392
negative,IMDB Review,188
positive,IMDB Review,46
positive,IMDB Review,126
negative,IMDB Review,152
negative,IMDB Review,56
negative,IMDB Review,113
positive,IMDB Review,245
positive,IMDB Review,174
positive,IMDB Review,121
positive,IMDB Review,100
negative,IMDB Review,104
negative,IMDB Review,161
negative,IMDB Review,255
negative,IMDB Review,129
positive,IMDB Review,130
negative,IMDB Review,152
positive,IMDB Review,86
negative,IMDB Review,155
negative,IMDB Review,592
negative,IMDB Review,100
negative,IMDB Review,130
negative,IMDB Review,331
negative,IMDB Review,987
negative,IMDB Review,282
positive,IMDB Review,110
negative,IMDB Review,90
negative,IMDB Review,182
negative,IMDB Review,301
positive,IMDB Review,263
negative,IMDB Review,187
positive,IMDB Review,159
negative,IMDB Review,117
positive,IMDB Review,549
positive,IMDB Review,105
negative,IMDB Review,149
negative,IMDB Review,256
positive,IMDB Review,312
positive,IMDB Review,374
negative,IMDB Review,214
negative,IMDB Review,574
negative,IMDB Review,471
positive,IMDB Review,86
negative,IMDB Review,148
positive,IMDB Review,186
negative,IMDB Review,534
negative,IMDB Review,353
negative,IMDB Review,107
negative,IMDB Review,152
positive,IMDB Review,154
negative,IMDB Review,129
negative,IMDB Review,129
negative,IMDB Review,569
positive,IMDB Review,834
positive,IMDB Review,84
positive,IMDB Review,216
positive,IMDB Review,90
positive,IMDB Review,356
negative,IMDB Review,200
positive,IMDB Review,209
positive,IMDB Review,140
negative,IMDB Review,374
negative,IMDB Review,212
positive,IMDB Review,149
positive,IMDB Review,324
positive,IMDB Review,246
positive,IMDB Review,94
positive,IMDB Review,79
negative,IMDB Review,134
positive,IMDB Review,68
positive,IMDB Review,54
positive,IMDB Review,196
negative,IMDB Review,187
negative,IMDB Review,87
positive,IMDB Review,217
negative,IMDB Review,147
positive,IMDB Review,110
positive,IMDB Review,803
negative,IMDB Review,102
positive,IMDB Review,118
negative,IMDB Review,195
negative,IMDB Review,142
positive,IMDB Review,86
negative,IMDB Review,947
positive,IMDB Review,150
negative,IMDB Review,261
positive,IMDB Review,308
positive,IMDB Review,256
positive,IMDB Review,123
positive,IMDB Review,167
positive,IMDB Review,108
negative,IMDB Review,136
negative,IMDB Review,164
positive,IMDB Review,73
negative,IMDB Review,236
negative,IMDB Review,215
positive,IMDB Review,100
negative,IMDB Review,452
positive,IMDB Review,302
positive,IMDB Review,37
positive,IMDB Review,136
negative,IMDB Review,133
positive,IMDB Review,289
negative,IMDB Review,102
positive,IMDB Review,420
negative,IMDB Review,354
negative,IMDB Review,116
negative,IMDB Review,142
positive,IMDB Review,313
positive,IMDB Review,180
positive,IMDB Review,99
negative,IMDB Review,84
positive,IMDB Review,444
positive,IMDB Review,243
positive,IMDB Review,236
positive,IMDB Review,163
positive,IMDB Review,989
negative,IMDB Review,224
negative,IMDB Review,163
positive,IMDB Review,136
positive,IMDB Review,515
positive,IMDB Review,114
negative,IMDB Review,288
negative,IMDB Review,120
positive,IMDB Review,85
negative,IMDB Review,72
negative,IMDB Review,791
negative,IMDB Review,261
positive,IMDB Review,827
positive,IMDB Review,270
positive,IMDB Review,179
negative,IMDB Review,289
negative,IMDB Review,270
negative,IMDB Review,384
positive,IMDB Review,148
positive,IMDB Review,442
positive,IMDB Review,168
positive,IMDB Review,218
positive,IMDB Review,837
positive,IMDB Review,144
negative,IMDB Review,161
negative,IMDB Review,370
positive,IMDB Review,321
positive,IMDB Review,686
positive,IMDB Review,165
negative,IMDB Review,129
positive,IMDB Review,183
negative,IMDB Review,95
positive,IMDB Review,107
negative,IMDB Review,151
negative,IMDB Review,117
negative,IMDB Review,57
negative,IMDB Review,153
positive,IMDB Review,552
positive,IMDB Review,733
negative,IMDB Review,89
negative,IMDB Review,129
negative,IMDB Review,128
negative,IMDB Review,457
positive,IMDB Review,284
negative,IMDB Review,305
negative,IMDB Review,158
negative,IMDB Review,49
negative,IMDB Review,168
negative,IMDB Review,225
positive,IMDB Review,294
negative,IMDB Review,122
positive,IMDB Review,134
positive,IMDB Review,113
positive,IMDB Review,120
positive,IMDB Review,41
positive,IMDB Review,130
positive,IMDB Review,78
